route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible                                                                                                                                                                                                                                                
7180165000GL026,2024-10-092024-11-04004631,0046312024-10-09,,00463,,,,1                                                                                                                                                                                                                                                                                       
7180161200GL026,2024-11-052024-12-07004631,0046312024-11-05,,00463,,,,1                                                                                                                                                                                                                                                                                       
7180111511GL023,2024-10-092024-12-07005301,0053012024-10-09,,00530,,,,1                                                                                                                                                                                                                                                                                       
7180111511GL023,2024-12-082024-12-14005301,0053012024-12-08,,00530,,,,1                                                                                                                                                                                                                                                                                       
7180111511GL023,2024-10-092024-12-07005302,0053022024-10-09,,00530,,,,2                                                                                                                                                                                                                                                                                       
7180111511GL023,2024-12-082024-12-14005302,0053022024-12-08,,00530,,,,2                                                                                                                                                                                                                                                                                       
1151171801GL023,2024-10-092024-12-07005331,0053312024-10-09,,00533,,,,1                                                                                                                                                                                                                                                                                       
1151171801GL023,2024-12-082024-12-14005331,0053312024-12-08,,00533,,,,1                                                                                                                                                                                                                                                                                       
1151178400GL023,2024-10-092024-12-07005332,0053322024-10-09,,00533,,,,2                                                                                                                                                                                                                                                                                       
1151178400GL023,2024-12-082024-12-14005332,0053322024-12-08,,00533,,,,2                                                                                                                                                                                                                                                                                       
2030922100GL026,2024-10-092024-11-04005581,0055812024-10-09,,00558,,,,1                                                                                                                                                                                                                                                                                       
2210020309GL026,2024-10-092024-11-04005601,0056012024-10-09,,00560,,,,1                                                                                                                                                                                                                                                                                       
7180180100GL026,2024-10-092024-10-30005621,0056212024-10-09,,00562,,,,1                                                                                                                                                                                                                                                                                       
7180180100GL026,2024-10-312024-10-31005621,0056212024-10-31,,00562,,,,1                                                                                                                                                                                                                                                                                       
7180180100GL026,2024-11-032024-12-04005621,0056212024-11-03,,00562,,,,1                                                                                                                                                                                                                                                                                       
7180180100GL026,2024-12-052024-12-05005621,0056212024-12-05,,00562,,,,1                                                                                                                                                                                                                                                                                       
7180180100GL026,2024-12-082024-12-14005621,0056212024-12-08,,00562,,,,1                                                                                                                                                                                                                                                                                       
8010071801GL026,2024-10-092024-12-07005631,0056312024-10-09,,00563,,,,1                                                                                                                                                                                                                                                                                       
8010071801GL026,2024-12-082024-12-14005631,0056312024-12-08,,00563,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2024-10-092024-10-31006001,0060012024-10-09,,00600,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2024-11-012024-12-07006001,0060012024-11-01,,00600,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2024-12-082024-12-14006001,0060012024-12-08,,00600,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2024-10-092024-10-31006011,0060112024-10-09,,00601,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2024-11-022024-12-05006011,0060112024-11-02,,00601,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2024-12-082024-12-14006011,0060112024-12-08,,00601,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2024-10-092024-10-31006021,0060212024-10-09,,00602,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2024-11-012024-12-07006021,0060212024-11-01,,00602,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2024-12-082024-12-14006021,0060212024-12-08,,00602,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2024-10-092024-10-31006031,0060312024-10-09,,00603,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2024-11-012024-12-07006031,0060312024-11-01,,00603,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2024-12-082024-12-14006031,0060312024-12-08,,00603,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2024-10-092024-10-31006051,0060512024-10-09,,00605,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2024-11-012024-12-07006051,0060512024-11-01,,00605,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2024-12-082024-12-14006051,0060512024-12-08,,00605,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2024-10-092024-10-31006061,0060612024-10-09,,00606,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2024-11-012024-12-07006061,0060612024-11-01,,00606,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2024-12-082024-12-14006061,0060612024-12-08,,00606,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2024-10-092024-10-30006081,0060812024-10-09,,00608,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2024-10-312024-10-31006081,0060812024-10-31,,00608,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2024-11-022024-12-04006081,0060812024-11-02,,00608,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2024-12-052024-12-05006081,0060812024-12-05,,00608,,,,1                                                                                                                                                                                                                                                                                       
